shapeID,adm1_Pcode
AFG-ADM1-8247537B87227687,AF01
AFG-ADM1-8247537B78072308,AF02
AFG-ADM1-8247537B71412144,AF03
AFG-ADM1-8247537B50566151,AF04
AFG-ADM1-8247537B35924518,AF05
AFG-ADM1-8247537B14131608,AF06
AFG-ADM1-8247537B64342225,AF07
AFG-ADM1-8247537B43122074,AF08
AFG-ADM1-8247537B74530288,AF09
AFG-ADM1-8247537B29636249,AF10
AFG-ADM1-8247537B23419895,AF11
AFG-ADM1-8247537B23295328,AF12
AFG-ADM1-8247537B36817530,AF13
AFG-ADM1-8247537B11949944,AF14
AFG-ADM1-8247537B59425061,AF15
AFG-ADM1-8247537B50007567,AF16
AFG-ADM1-8247537B41623266,AF17
AFG-ADM1-8247537B21739608,AF18
AFG-ADM1-8247537B7979771,AF19
AFG-ADM1-8247537B75922439,AF20
AFG-ADM1-8247537B30575277,AF21
AFG-ADM1-8247537B40448753,AF22
AFG-ADM1-8247537B93754645,AF23
AFG-ADM1-8247537B5343924,AF24
AFG-ADM1-8247537B61366292,AF25
AFG-ADM1-8247537B85672503,AF26
AFG-ADM1-8247537B86652783,AF27
AFG-ADM1-8247537B30909214,AF28
AFG-ADM1-8247537B79597565,AF29
AFG-ADM1-8247537B23176950,AF30
AFG-ADM1-8247537B78184625,AF31
AFG-ADM1-8247537B59543178,AF32
AFG-ADM1-8247537B90806666,AF33
AFG-ADM1-8247537B83426895,AF34