iso3,inform_severity
AFG,4.7
AGO,3.2
ARM,1.6
AZE,x
BDI,3.9
BFA,4.1
BGD,3.3
BRA,2.3
CAF,4.3
CMR,4.3
COD,4.6
COG,3.4
COL,4.2
CRI,1.1
DJI,2.8
DZA,x
ECU,2.4
EGY,2.5
ERI,3.8
ESP,1.8
ETH,4.8
GRC,1.6
GTM,3.6
HND,3.8
HTI,4.1
IDN,2.2
IND,x
IRN,3.5
IRQ,4
ITA,1.9
JOR,2.7
KEN,3.3
LBN,3.6
LBY,3.9
LSO,2.2
MAR,x
MDG,2.7
MEX,x
MLI,4.4
MMR,4.4
MOZ,3.6
MRT,2.9
MWI,3
MYS,1.7
NAM,2.4
NER,3.9
NGA,4.3
NIC,x
PAK,3.7
PER,3
PHL,3.3
PRK,3.8
PSE,3.9
RWA,2.2
SDN,4.4
SEN,2.4
SLV,3.2
SOM,4.4
SSD,4.6
SWZ,2.5
SYR,5
TCD,4.3
THA,1.9
TON,1.3
TTO,1.8
TUN,x
TUR,3.4
TZA,2.5
UGA,3.2
UKR,3.7
VEN,4.2
YEM,4.8
ZMB,2.9
ZWE,3.8